Occupation,onetsoc_code,occ_type,em_2018,em_2028,p_2018,p_2028,change,percent_change,openings
Gaming services workers,39-3010,Summary,117.50,121.70,0.10,0.10,4.20,3.50,18.90
Gaming dealers,39-3011,Line item,95.50,99.50,0.10,0.10,4.00,4.20,15.50
Gaming and sports book writers and runners,39-3012,Line item,11.70,11.60,0.00,0.00,-0.10,-0.70,1.80
"Gaming service workers, all other",39-3019,Line item,10.30,10.50,0.00,0.00,0.20,2.10,1.60
Motion picture projectionists,39-3021,Line item,4.90,4.30,0.00,0.00,-0.60,-11.60,0.80
"Ushers, lobby attendants, and ticket takers",39-3031,Line item,136.40,140.60,0.10,0.10,4.20,3.10,34.10
Miscellaneous entertainment attendants and related workers,39-3090,Summary,369.60,397.20,0.20,0.20,27.60,7.50,91.10
Amusement and recreation attendants,39-3091,Line item,338.60,364.40,0.20,0.20,25.80,7.60,83.50
Costume attendants,39-3092,Line item,6.70,7.00,0.00,0.00,0.30,5.10,1.60
"Locker room, coatroom, and dressing room attendants",39-3093,Line item,18.50,19.70,0.00,0.00,1.20,6.70,4.50
"Entertainment attendants and related workers, all other",39-3099,Line item,5.80,6.00,0.00,0.00,0.20,3.90,1.40
Funeral service workers,39-4000,Summary,69.80,71.60,0.00,0.00,1.80,2.50,10.30
Embalmers,39-4011,Line item,4.20,4.10,0.00,0.00,-0.10,-1.90,0.70
Funeral attendants,39-4021,Line item,36.10,37.10,0.00,0.00,1.10,3.00,6.00
"Morticians, undertakers, and funeral directors",39-4031,Line item,29.60,30.30,0.00,0.00,0.80,2.60,3.60
Personal appearance workers,39-5000,Summary,1018.20,1107.90,0.60,0.70,89.70,8.80,137.50
"Barbers, hairdressers, hairstylists and cosmetologists",39-5010,Summary,766.10,830.00,0.50,0.50,63.90,8.30,104.70
Barbers,39-5011,Line item,82.30,88.40,0.10,0.10,6.10,7.40,10.10
"Hairdressers, hairstylists, and cosmetologists",39-5012,Line item,683.80,741.70,0.40,0.40,57.80,8.50,94.60
Miscellaneous personal appearance workers,39-5090,Summary,252.00,277.80,0.20,0.20,25.80,10.20,32.80
"Makeup artists, theatrical and performance",39-5091,Line item,4.50,4.80,0.00,0.00,0.30,7.00,0.60
Manicurists and pedicurists,39-5092,Line item,156.30,172.00,0.10,0.10,15.70,10.10,20.30
Shampooers,39-5093,Line item,19.50,21.40,0.00,0.00,2.00,10.10,2.50
Skincare specialists,39-5094,Line item,71.80,79.60,0.00,0.00,7.80,10.90,9.40
"Baggage porters, bellhops, and concierges",39-6000,Summary,81.30,86.00,0.10,0.10,4.70,5.70,12.40
Baggage porters and bellhops,39-6011,Line item,43.10,45.70,0.00,0.00,2.60,6.10,6.60
Concierges,39-6012,Line item,38.20,40.20,0.00,0.00,2.00,5.30,5.80
Tour and travel guides,39-7010,Line item,61.90,66.10,0.00,0.00,4.20,6.80,11.60
Other personal care and service workers,39-9000,Summary,4574.90,5586.20,2.80,3.30,1011.30,22.10,844.60
Childcare workers,39-9011,Line item,1160.00,1187.70,0.70,0.70,27.70,2.40,177.90
Personal care aides,39-9021,Line item,2421.20,3302.10,1.50,1.90,881.00,36.40,486.90
Recreation and fitness workers,39-9030,Summary,765.10,844.60,0.50,0.50,79.50,10.40,141.60
Fitness trainers and aerobics instructors,39-9031,Line item,356.90,402.50,0.20,0.20,45.70,12.80,67.60
Recreation workers,39-9032,Line item,408.30,442.00,0.30,0.30,33.80,8.30,74.00
Residential advisors,39-9041,Line item,115.80,129.60,0.10,0.10,13.90,12.00,20.00
"Personal care and service workers, all other",39-9099,Line item,112.90,122.10,0.10,0.10,9.20,8.20,18.10
Sales and related occupations,41-0000,Summary,15728.60,15648.80,9.80,9.20,-79.80,-0.50,2177.20
Supervisors of sales workers,41-1000,Summary,1945.90,1908.80,1.20,1.10,-37.10,-1.90,202.50
First-line supervisors of retail sales workers,41-1011,Line item,1548.30,1518.10,1.00,0.90,-30.20,-1.90,165.50
First-line supervisors of non-retail sales workers,41-1012,Line item,397.60,390.70,0.20,0.20,-6.90,-1.70,37.00
Retail sales workers,41-2000,Summary,8876.10,8649.50,5.50,5.10,-226.60,-2.60,1396.10
Cashiers,41-2010,Summary,3671.10,3532.60,2.30,2.10,-138.50,-3.80,665.60
Cashiers,41-2011,Line item,3648.50,3509.80,2.30,2.10,-138.70,-3.80,661.30
Gaming change persons and booth cashiers,41-2012,Line item,22.60,22.80,0.00,0.00,0.20,0.70,4.30
Counter and rental clerks and parts salespersons,41-2020,Summary,694.00,707.90,0.40,0.40,13.90,2.00,89.30
Counter and rental clerks,41-2021,Line item,436.10,453.20,0.30,0.30,17.10,3.90,58.70
Parts salespersons,41-2022,Line item,258.00,254.70,0.20,0.20,-3.30,-1.30,30.50
Retail salespersons,41-2031,Line item,4510.90,4409.10,2.80,2.60,-101.90,-2.30,641.30
"Sales representatives, services",41-3000,Summary,2205.60,2341.10,1.40,1.40,135.50,6.10,274.10
Advertising sales agents,41-3011,Line item,147.90,144.60,0.10,0.10,-3.30,-2.20,19.50
Insurance sales agents,41-3021,Line item,475.90,524.20,0.30,0.30,48.30,10.20,53.40
"Securities, commodities, and financial services sales agents",41-3031,Line item,442.40,460.90,0.30,0.30,18.50,4.20,44.60
Travel agents,41-3041,Line item,78.80,74.40,0.00,0.00,-4.50,-5.70,9.70
"Sales representatives, services, all other",41-3099,Line item,1060.60,1137.00,0.70,0.70,76.40,7.20,146.80
"Sales representatives, wholesale and manufacturing",41-4000,Summary,1732.40,1767.80,1.10,1.00,35.40,2.00,187.10
"Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,Line item,325.90,338.00,0.20,0.20,12.10,3.70,36.00
"Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,Line item,1406.40,1429.80,0.90,0.80,23.30,1.70,151.10
Other sales and related workers,41-9000,Summary,968.60,981.60,0.60,0.60,13.00,1.30,117.40
"Models, demonstrators, and product promoters",41-9010,Summary,91.00,95.30,0.10,0.10,4.40,4.80,16.40
Demonstrators and product promoters,41-9011,Line item,87.40,92.00,0.10,0.10,4.60,5.20,15.80
Models,41-9012,Line item,3.60,3.40,0.00,0.00,-0.20,-5.70,0.60
Real estate brokers and sales agents,41-9020,Summary,465.50,497.90,0.30,0.30,32.40,7.00,49.00
Real estate brokers,41-9021,Line item,96.20,103.00,0.10,0.10,6.80,7.10,10.10
Real estate sales agents,41-9022,Line item,369.20,394.80,0.20,0.20,25.60,6.90,38.90
Sales engineers,41-9031,Line item,66.70,70.40,0.00,0.00,3.70,5.60,7.90
Telemarketers,41-9041,Line item,167.70,139.80,0.10,0.10,-27.80,-16.60,21.40
Miscellaneous sales and related workers,41-9090,Summary,177.80,178.10,0.10,0.10,0.30,0.20,22.70
"Door-to-door sales workers, news and street vendors, and related workers",41-9091,Line item,69.90,64.90,0.00,0.00,-5.00,-7.20,7.80
"Sales and related workers, all other",41-9099,Line item,107.90,113.20,0.10,0.10,5.40,5.00,14.90
Office and administrative support occupations,43-0000,Summary,22973.60,22365.50,14.30,13.20,-608.10,-2.60,2611.70
Supervisors of office and administrative support workers,43-1000,Summary,1557.50,1544.20,1.00,0.90,-13.30,-0.90,161.10
First-line supervisors of office and administrative support workers,43-1011,Line item,1557.50,1544.20,1.00,0.90,-13.30,-0.90,161.10
Communications equipment operators,43-2000,Summary,81.30,62.30,0.10,0.00,-18.90,-23.30,7.00
"Switchboard operators, including answering service",43-2011,Line item,73.40,55.90,0.00,0.00,-17.50,-23.80,6.30
Telephone operators,43-2021,Line item,5.70,4.10,0.00,0.00,-1.60,-28.40,0.50
"Communications equipment operators, all other",43-2099,Line item,2.20,2.40,0.00,0.00,0.20,7.00,0.30
Financial clerks,43-3000,Summary,3195.40,3096.30,2.00,1.80,-99.10,-3.10,353.20
Bill and account collectors,43-3011,Line item,258.00,238.60,0.20,0.10,-19.40,-7.50,27.70
Billing and posting clerks,43-3021,Line item,486.30,536.30,0.30,0.30,50.00,10.30,60.50
"Bookkeeping, accounting, and auditing clerks",43-3031,Line item,1707.70,1641.90,1.10,1.00,-65.80,-3.90,188.50
Gaming cage workers,43-3041,Line item,16.30,16.80,0.00,0.00,0.50,3.10,2.30
Payroll and timekeeping clerks,43-3051,Line item,150.40,145.60,0.10,0.10,-4.80,-3.20,15.80
Procurement clerks,43-3061,Line item,70.80,66.50,0.00,0.00,-4.30,-6.00,6.70
Tellers,43-3071,Line item,472.10,414.30,0.30,0.20,-57.80,-12.20,47.60
"Financial clerks, all other",43-3099,Line item,33.80,36.20,0.00,0.00,2.40,7.00,4.00
Information and record clerks,43-4000,Summary,6007.30,6022.60,3.70,3.60,15.20,0.30,777.90
Brokerage clerks,43-4011,Line item,56.10,58.70,0.00,0.00,2.70,4.70,6.20
Correspondence clerks,43-4021,Line item,5.90,5.80,0.00,0.00,-0.10,-1.70,0.70
"Court, municipal, and license clerks",43-4031,Line item,150.50,157.20,0.10,0.10,6.70,4.40,14.90
"Credit authorizers, checkers, and clerks",43-4041,Line item,30.30,28.90,0.00,0.00,-1.40,-4.50,2.80
Customer service representatives,43-4051,Line item,2972.60,2921.00,1.80,1.70,-51.60,-1.70,387.60
"Eligibility interviewers, government programs",43-4061,Line item,145.20,151.60,0.10,0.10,6.40,4.40,14.70
File clerks,43-4071,Line item,116.90,101.10,0.10,0.10,-15.70,-13.50,11.90
"Hotel, motel, and resort desk clerks",43-4081,Line item,265.40,248.70,0.20,0.10,-16.70,-6.30,41.90
"Interviewers, except eligibility and loan",43-4111,Line item,204.60,211.00,0.10,0.10,6.40,3.10,26.20
"Library assistants, clerical",43-4121,Line item,94.40,91.60,0.10,0.10,-2.80,-3.00,13.70
Loan interviewers and clerks,43-4131,Line item,226.30,245.80,0.10,0.10,19.50,8.60,25.90
New accounts clerks,43-4141,Line item,41.90,38.80,0.00,0.00,-3.00,-7.20,4.40
Order clerks,43-4151,Line item,166.80,165.70,0.10,0.10,-1.10,-0.60,19.10
"Human resources assistants, except payroll and timekeeping",43-4161,Line item,129.30,123.90,0.10,0.10,-5.30,-4.10,13.80
Receptionists and information clerks,43-4171,Line item,1101.50,1160.80,0.70,0.70,59.30,5.40,157.90
Reservation and transportation ticket agents and travel clerks,43-4181,Line item,133.70,137.80,0.10,0.10,4.10,3.00,15.80
"Information and record clerks, all other",43-4199,Line item,166.00,174.10,0.10,0.10,8.10,4.90,20.50
"Material recording, scheduling, dispatching, and distributing workers",43-5000,Summary,4184.90,4139.60,2.60,2.40,-45.20,-1.10,468.80
Cargo and freight agents,43-5011,Line item,95.50,102.70,0.10,0.10,7.20,7.50,10.10
Couriers and messengers,43-5021,Line item,101.50,104.20,0.10,0.10,2.70,2.70,10.10
Dispatchers,43-5030,Summary,305.20,310.90,0.20,0.20,5.70,1.90,29.70
"Police, fire, and ambulance dispatchers",43-5031,Line item,98.30,103.70,0.10,0.10,5.50,5.50,10.10
"Dispatchers, except police, fire, and ambulance",43-5032,Line item,206.90,207.20,0.10,0.10,0.20,0.10,19.60
"Meter readers, utilities",43-5041,Line item,34.20,30.20,0.00,0.00,-4.00,-11.60,2.80
Postal service workers,43-5050,Summary,504.10,400.30,0.30,0.20,-103.80,-20.60,24.10
Postal service clerks,43-5051,Line item,75.70,60.70,0.00,0.00,-15.00,-19.80,3.70
Postal service mail carriers,43-5052,Line item,328.70,263.70,0.20,0.20,-65.10,-19.80,15.50
"Postal service mail sorters, processors, and processing machine operators",43-5053,Line item,99.70,76.00,0.10,0.00,-23.70,-23.80,4.90
"Production, planning, and expediting clerks",43-5061,Line item,358.70,373.80,0.20,0.20,15.10,4.20,39.70
"Shipping, receiving, and traffic clerks",43-5071,Line item,662.60,656.20,0.40,0.40,-6.50,-1.00,64.80
Stock clerks and order fillers,43-5081,Line item,2056.60,2091.30,1.30,1.20,34.70,1.70,279.50
"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,Line item,66.30,69.90,0.00,0.00,3.60,5.40,8.10
Secretaries and administrative assistants,43-6000,Summary,3786.80,3510.00,2.40,2.10,-276.70,-7.30,380.70
Executive secretaries and executive administrative assistants,43-6011,Line item,622.50,499.40,0.40,0.30,-123.00,-19.80,50.50
Legal secretaries,43-6012,Line item,180.10,142.50,0.10,0.10,-37.60,-20.90,14.30
Medical secretaries,43-6013,Line item,601.70,698.10,0.40,0.40,96.40,16.00,82.40
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Line item,2382.50,2170.00,1.50,1.30,-212.50,-8.90,233.50
Other office and administrative support workers,43-9000,Summary,4160.50,3990.50,2.60,2.40,-170.00,-4.10,462.90
Computer operators,43-9011,Line item,36.80,28.00,0.00,0.00,-8.90,-24.10,3.10
Data entry and information processing workers,43-9020,Summary,247.70,183.90,0.20,0.10,-63.80,-25.80,18.80
Data entry keyers,43-9021,Line item,187.30,143.90,0.10,0.10,-43.40,-23.20,14.80
Word processors and typists,43-9022,Line item,60.40,40.00,0.00,0.00,-20.40,-33.80,4.10
Desktop publishers,43-9031,Line item,12.60,10.60,0.00,0.00,-2.00,-15.90,1.20
Insurance claims and policy processing clerks,43-9041,Line item,308.80,321.80,0.20,0.20,12.90,4.20,32.70
"Mail clerks and mail machine operators, except postal service",43-9051,Line item,90.10,84.20,0.10,0.00,-5.90,-6.60,9.10
"Office clerks, general",43-9061,Line item,3158.50,3047.80,2.00,1.80,-110.60,-3.50,360.40
"Office machine operators, except computer",43-9071,Line item,50.10,43.70,0.00,0.00,-6.40,-12.80,5.30
Proofreaders and copy markers,43-9081,Line item,14.70,15.30,0.00,0.00,0.60,3.80,2.10
Statistical assistants,43-9111,Line item,13.10,14.10,0.00,0.00,1.10,8.00,1.80
"Office and administrative support workers, all other",43-9199,Line item,228.10,241.20,0.10,0.10,13.10,5.80,28.60
"Farming, fishing, and forestry occupations",45-0000,Summary,1096.90,1100.00,0.70,0.60,3.20,0.30,177.70
"Supervisors of farming, fishing, and forestry workers",45-1000,Summary,55.70,56.50,0.00,0.00,0.80,1.40,8.40
"First-line supervisors of farming, fishing, and forestry workers",45-1011,Line item,55.70,56.50,0.00,0.00,0.80,1.40,8.40
Agricultural workers,45-2000,Summary,934.20,945.20,0.60,0.60,11.00,1.20,153.50
Agricultural inspectors,45-2011,Line item,17.70,18.40,0.00,0.00,0.70,4.20,2.70
Animal breeders,45-2021,Line item,8.90,9.20,0.00,0.00,0.30,2.90,1.50
"Graders and sorters, agricultural products",45-2041,Line item,40.10,39.50,0.00,0.00,-0.60,-1.50,5.80
Miscellaneous agricultural workers,45-2090,Summary,867.40,878.00,0.50,0.50,10.60,1.20,143.60
Agricultural equipment operators,45-2091,Line item,66.60,73.10,0.00,0.00,6.50,9.80,12.10
"Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,Line item,532.30,542.70,0.30,0.30,10.40,2.00,88.80
"Farmworkers, farm, ranch, and aquacultural animals",45-2093,Line item,256.10,249.20,0.20,0.10,-6.90,-2.70,40.60
"Agricultural workers, all other",45-2099,Line item,12.40,13.00,0.00,0.00,0.60,4.70,2.10
Fishing and hunting workers,45-3000,Line item,39.40,38.70,0.00,0.00,-0.70,-1.90,6.20
"Forest, conservation, and logging workers",45-4000,Summary,67.50,59.70,0.00,0.00,-7.90,-11.70,9.60
Forest and conservation workers,45-4011,Line item,13.90,13.50,0.00,0.00,-0.40,-3.20,2.40
Logging workers,45-4020,Summary,53.60,46.20,0.00,0.00,-7.40,-13.90,7.20
Fallers,45-4021,Line item,6.60,5.40,0.00,0.00,-1.20,-18.00,0.80
Logging equipment operators,45-4022,Line item,36.90,31.80,0.00,0.00,-5.10,-13.80,5.00
Log graders and scalers,45-4023,Line item,4.70,4.40,0.00,0.00,-0.40,-7.60,0.70
"Logging workers, all other",45-4029,Line item,5.40,4.60,0.00,0.00,-0.80,-15.00,0.70
Construction and extraction occupations,47-0000,Summary,7212.50,7916.50,4.50,4.70,704.00,9.80,907.50
Supervisors of construction and extraction workers,47-1000,Summary,662.60,731.70,0.40,0.40,69.10,10.40,79.40
First-line supervisors of construction trades and extraction workers,47-1011,Line item,662.60,731.70,0.40,0.40,69.10,10.40,79.40
Construction trades workers,47-2000,Summary,5631.00,6180.00,3.50,3.60,549.00,9.70,698.20
Boilermakers,47-2011,Line item,14.50,15.30,0.00,0.00,0.90,5.90,1.60
"Brickmasons, blockmasons, and stonemasons",47-2020,Summary,104.10,114.00,0.10,0.10,10.00,9.60,11.90
Brickmasons and blockmasons,47-2021,Line item,87.00,95.40,0.10,0.10,8.40,9.70,10.00
Stonemasons,47-2022,Line item,17.10,18.60,0.00,0.00,1.50,9.00,1.90
Carpenters,47-2031,Line item,1006.50,1086.60,0.60,0.60,80.10,8.00,116.30
"Carpet, floor, and tile installers and finishers",47-2040,Summary,119.60,133.10,0.10,0.10,13.50,11.30,13.70
Carpet installers,47-2041,Line item,37.20,36.50,0.00,0.00,-0.70,-1.90,3.50
"Floor layers, except carpet, wood, and hard tiles",47-2042,Line item,20.10,23.70,0.00,0.00,3.60,18.20,2.50
Floor sanders and finishers,47-2043,Line item,6.40,7.00,0.00,0.00,0.70,10.30,0.70
Tile and marble setters,47-2044,Line item,56.00,65.90,0.00,0.00,9.90,17.60,6.90
"Cement masons, concrete finishers, and terrazzo workers",47-2050,Summary,193.90,215.40,0.10,0.10,21.50,11.10,23.60
Cement masons and concrete finishers,47-2051,Line item,191.10,212.20,0.10,0.10,21.10,11.10,23.30
Terrazzo workers and finishers,47-2053,Line item,2.80,3.20,0.00,0.00,0.30,11.90,0.40
Construction laborers,47-2061,Line item,1405.00,1553.10,0.90,0.90,148.10,10.50,179.30
Construction equipment operators,47-2070,Summary,453.20,497.10,0.30,0.30,44.00,9.70,59.60
"Paving, surfacing, and tamping equipment operators",47-2071,Line item,47.10,52.20,0.00,0.00,5.10,10.80,6.70
Pile-driver operators,47-2072,Line item,3.60,4.00,0.00,0.00,0.40,10.70,0.50
Operating engineers and other construction equipment operators,47-2073,Line item,402.40,441.00,0.20,0.30,38.50,9.60,52.50
"Drywall installers, ceiling tile installers, and tapers",47-2080,Summary,144.00,147.10,0.10,0.10,3.10,2.20,14.80
Drywall and ceiling tile installers,47-2081,Line item,122.00,124.80,0.10,0.10,2.80,2.30,12.60
Tapers,47-2082,Line item,22.00,22.30,0.00,0.00,0.40,1.70,2.20
Electricians,47-2111,Line item,715.40,789.50,0.40,0.50,74.10,10.40,94.60
Glaziers,47-2121,Line item,53.50,59.20,0.00,0.00,5.70,10.70,7.00
Insulation workers,47-2130,Summary,58.60,61.80,0.00,0.00,3.10,5.30,7.20
"Insulation workers, floor, ceiling, and wall",47-2131,Line item,33.30,34.20,0.00,0.00,0.90,2.80,4.00
"Insulation workers, mechanical",47-2132,Line item,25.40,27.60,0.00,0.00,2.20,8.60,3.30
Painters and paperhangers,47-2140,Summary,380.20,402.80,0.20,0.20,22.60,6.00,41.90
"Painters, construction and maintenance",47-2141,Line item,375.60,398.00,0.20,0.20,22.40,6.00,41.40
Paperhangers,47-2142,Line item,4.60,4.80,0.00,0.00,0.20,5.10,0.50
"Pipelayers, plumbers, pipefitters, and steamfitters",47-2150,Summary,542.90,616.30,0.30,0.40,73.40,13.50,71.60
Pipelayers,47-2151,Line item,42.60,47.70,0.00,0.00,5.20,12.20,5.50
"Plumbers, pipefitters, and steamfitters",47-2152,Line item,500.30,568.60,0.30,0.30,68.20,13.60,66.10
Plasterers and stucco masons,47-2161,Line item,27.70,29.00,0.00,0.00,1.30,4.70,2.70
Reinforcing iron and rebar workers,47-2171,Line item,18.50,20.50,0.00,0.00,2.10,11.10,2.50
Roofers,47-2181,Line item,160.60,179.60,0.10,0.10,19.00,11.80,19.50
Sheet metal workers,47-2211,Line item,143.00,154.40,0.10,0.10,11.40,8.00,17.30
Structural iron and steel workers,47-2221,Line item,80.10,89.30,0.00,0.10,9.20,11.50,10.90
Solar photovoltaic installers,47-2231,Line item,9.70,15.80,0.00,0.00,6.10,63.30,2.20
"Helpers, construction trades",47-3000,Summary,240.60,265.90,0.10,0.20,25.30,10.50,36.70
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,Line item,24.40,27.00,0.00,0.00,2.60,10.80,3.70
Helpers--carpenters,47-3012,Line item,34.20,38.20,0.00,0.00,4.00,11.60,5.30
Helpers--electricians,47-3013,Line item,78.30,83.70,0.00,0.00,5.40,6.90,11.40
"Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,Line item,10.90,11.50,0.00,0.00,0.50,5.00,1.60
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,Line item,56.90,65.80,0.00,0.00,8.90,15.60,9.20
Helpers--roofers,47-3016,Line item,8.80,9.90,0.00,0.00,1.10,13.00,1.40
"Helpers, construction trades, all other",47-3019,Line item,27.20,30.00,0.00,0.00,2.80,10.20,4.10
Other construction and related workers,47-4000,Summary,455.60,489.70,0.30,0.30,34.00,7.50,58.80
Construction and building inspectors,47-4011,Line item,117.30,125.00,0.10,0.10,7.70,6.60,15.80
Elevator installers and repairers,47-4021,Line item,27.00,29.80,0.00,0.00,2.80,10.30,3.50
Fence erectors,47-4031,Line item,31.20,34.40,0.00,0.00,3.20,10.10,4.20
Hazardous materials removal workers,47-4041,Line item,45.90,50.80,0.00,0.00,4.90,10.60,6.60
Highway maintenance workers,47-4051,Line item,155.30,162.70,0.10,0.10,7.40,4.80,18.40
Rail-track laying and maintenance equipment operators,47-4061,Line item,13.90,14.90,0.00,0.00,0.90,6.70,1.60
Septic tank servicers and sewer pipe cleaners,47-4071,Line item,29.60,33.50,0.00,0.00,4.00,13.40,4.00
Miscellaneous construction and related workers,47-4090,Line item,35.40,38.70,0.00,0.00,3.30,9.20,4.90
Extraction workers,47-5000,Summary,222.70,249.20,0.10,0.10,26.60,11.90,34.40
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",47-5010,Summary,84.40,96.30,0.10,0.10,11.90,14.10,13.90
"Derrick operators, oil and gas",47-5011,Line item,12.20,14.20,0.00,0.00,2.10,17.10,2.10
"Rotary drill operators, oil and gas",47-5012,Line item,19.30,22.10,0.00,0.00,2.80,14.80,3.20
"Service unit operators, oil, gas, and mining",47-5013,Line item,52.90,59.90,0.00,0.00,7.00,13.20,8.70
"Earth drillers, except oil and gas",47-5021,Line item,18.90,21.50,0.00,0.00,2.60,13.70,2.90
"Explosives workers, ordnance handling experts, and blasters",47-5031,Line item,5.90,6.20,0.00,0.00,0.30,5.50,0.80
Mining machine operators,47-5040,Summary,23.50,23.80,0.00,0.00,0.30,1.30,3.00
Continuous mining machine operators,47-5041,Line item,15.10,15.30,0.00,0.00,0.20,1.20,1.90
Mine cutting and channeling machine operators,47-5042,Line item,5.00,5.00,0.00,0.00,0.00,0.20,0.60
"Mining machine operators, all other",47-5049,Line item,3.40,3.50,0.00,0.00,0.10,3.60,0.40
"Rock splitters, quarry",47-5051,Line item,4.90,5.10,0.00,0.00,0.20,3.70,0.70
"Roof bolters, mining",47-5061,Line item,3.30,3.00,0.00,0.00,-0.30,-9.70,0.40
"Roustabouts, oil and gas",47-5071,Line item,58.30,67.00,0.00,0.00,8.70,14.90,9.10
Helpers--extraction workers,47-5081,Line item,16.90,19.00,0.00,0.00,2.10,12.50,2.60
"Extraction workers, all other",47-5099,Line item,6.50,7.30,0.00,0.00,0.80,12.10,1.00
"Installation, maintenance, and repair occupations",49-0000,Summary,6108.10,6341.30,3.80,3.70,233.20,3.80,632.90
"Supervisors of installation, maintenance, and repair workers",49-1000,Summary,487.00,506.40,0.30,0.30,19.50,4.00,47.50
"First-line supervisors of mechanics, installers, and repairers",49-1011,Line item,487.00,506.40,0.30,0.30,19.50,4.00,47.50
"Electrical and electronic equipment mechanics, installers, and repairers",49-2000,Summary,613.90,606.50,0.40,0.40,-7.40,-1.20,63.70
"Computer, automated teller, and office machine repairers",49-2011,Line item,114.50,112.80,0.10,0.10,-1.70,-1.50,11.90
Radio and telecommunications equipment installers and repairers,49-2020,Summary,247.10,234.30,0.20,0.10,-12.80,-5.20,25.20
"Radio, cellular, and tower equipment installers and repairers",49-2021,Line item,14.20,14.60,0.00,0.00,0.30,2.30,1.60
"Telecommunications equipment installers and repairers, except line installers",49-2022,Line item,232.90,219.80,0.10,0.10,-13.10,-5.60,23.60
"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",49-2090,Summary,252.30,259.40,0.20,0.20,7.10,2.80,26.60
Avionics technicians,49-2091,Line item,20.60,21.00,0.00,0.00,0.40,2.20,1.50
"Electric motor, power tool, and related repairers",49-2092,Line item,17.20,17.80,0.00,0.00,0.60,3.40,1.90
"Electrical and electronics installers and repairers, transportation equipment",49-2093,Line item,11.50,11.80,0.00,0.00,0.30,2.30,1.00
"Electrical and electronics repairers, commercial and industrial equipment",49-2094,Line item,61.30,61.70,0.00,0.00,0.40,0.70,5.40
"Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,Line item,23.10,23.50,0.00,0.00,0.40,1.70,2.10
"Electronic equipment installers and repairers, motor vehicles",49-2096,Line item,11.00,7.90,0.00,0.00,-3.10,-28.60,0.80
Electronic home entertainment equipment installers and repairers,49-2097,Line item,31.20,30.80,0.00,0.00,-0.50,-1.50,3.30
Security and fire alarm systems installers,49-2098,Line item,76.40,85.00,0.00,0.10,8.60,11.20,10.50
"Vehicle and mobile equipment mechanics, installers, and repairers",49-3000,Summary,1809.10,1835.10,1.10,1.10,26.00,1.40,178.70
Aircraft mechanics and service technicians,49-3011,Line item,136.90,141.20,0.10,0.10,4.30,3.10,11.80
Automotive technicians and repairers,49-3020,Summary,947.20,948.00,0.60,0.60,0.80,0.10,92.10
Automotive body and related repairers,49-3021,Line item,156.80,163.20,0.10,0.10,6.40,4.10,16.00
Automotive glass installers and repairers,49-3022,Line item,20.30,21.20,0.00,0.00,0.80,4.10,2.10
Automotive service technicians and mechanics,49-3023,Line item,770.10,763.60,0.50,0.50,-6.40,-0.80,74.00
Bus and truck mechanics and diesel engine specialists,49-3031,Line item,285.30,299.10,0.20,0.20,13.80,4.80,28.40
Heavy vehicle and mobile equipment service technicians and mechanics,49-3040,Summary,220.70,228.60,0.10,0.10,7.90,3.60,23.10
Farm equipment mechanics and service technicians,49-3041,Line item,45.40,47.10,0.00,0.00,1.70,3.70,4.80
"Mobile heavy equipment mechanics, except engines",49-3042,Line item,150.30,155.70,0.10,0.10,5.50,3.60,15.80
Rail car repairers,49-3043,Line item,25.10,25.80,0.00,0.00,0.70,2.80,2.60
Small engine mechanics,49-3050,Summary,76.30,81.20,0.00,0.00,4.90,6.40,8.30
Motorboat mechanics and service technicians,49-3051,Line item,24.90,26.30,0.00,0.00,1.40,5.70,2.70
Motorcycle mechanics,49-3052,Line item,16.60,18.10,0.00,0.00,1.50,9.20,1.90
Outdoor power equipment and other small engine mechanics,49-3053,Line item,34.90,36.90,0.00,0.00,2.00,5.70,3.80
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",49-3090,Summary,142.70,137.00,0.10,0.10,-5.60,-3.90,14.80
Bicycle repairers,49-3091,Line item,12.20,13.30,0.00,0.00,1.00,8.30,1.50
Recreational vehicle service technicians,49-3092,Line item,15.90,17.30,0.00,0.00,1.50,9.20,2.00
Tire repairers and changers,49-3093,Line item,114.50,106.40,0.10,0.10,-8.10,-7.10,11.40
"Other installation, maintenance, and repair occupations",49-9000,Summary,3198.20,3393.20,2.00,2.00,195.00,6.10,343.00
Control and valve installers and repairers,49-9010,Summary,75.50,78.50,0.00,0.00,3.10,4.10,6.90
Mechanical door repairers,49-9011,Line item,23.00,25.20,0.00,0.00,2.20,9.80,2.30
"Control and valve installers and repairers, except mechanical door",49-9012,Line item,52.50,53.30,0.00,0.00,0.80,1.60,4.60
